energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri,title,artist,album
0.456,0.101,81.579,0.0633,0.685,2.5e-05,4,0.424,11,253597,-12.316,0.593,0,audio_features,spotify:track:7CcZxHebD3G7NHX20pV4Np,I Get Lonely Too,Champagne Pa,Even Closer To My Dreams
0.76,0.184,89.958,0.0587,0.0678,0.0,4,0.69,0,247933,-4.778,0.468,1,audio_features,spotify:track:3q2NeHhnBXrsphLcY4Exxj,I Invented Sex [feat. Drake],Trey Songz,Ready
0.763,0.103,170.031,0.377,0.0389,0.0,4,0.662,1,223701,-8.455,0.566,1,audio_features,spotify:track:04T3yZYt92tBvgqxTdeJxd,I'm Goin In,Drake,So Far Gone
0.802,0.606,150.013,0.296,0.0606,0.0,4,0.519,11,296147,-3.449,0.414,0,audio_features,spotify:track:0IekdWvcDKkcnUyJt0NWga,I'm On One,DJ Khaled,We The Best Forever
0.579,0.299,104.267,0.158,0.00097,0.0,5,0.495,9,221753,-7.474,0.22,1,audio_features,spotify:track:0EoJvT28HPgpkGdIAdBQGH,I'm Still Fly feat. Drake - Dirty,Page,I'm Still Fly (feat. Drake)
0.519,0.131,160.003,0.223,0.000394,0.00069,4,0.842,0,180000,-9.255,0.249,1,audio_features,spotify:track:3nR43A2UqJAkYzbYfIHRGa,I'm The Plug,Drake,What A Time To Be Alive
0.587,0.0835,149.993,0.338,0.279,0.0,4,0.899,11,214467,-7.866,0.49,0,audio_features,spotify:track:1iSZPndzmY6NvL1jAtIvY1,I'm Upset,Drake,Scorpion
0.551,0.386,124.957,0.353,0.08,0.0,4,0.813,6,250770,-7.605,0.598,0,audio_features,spotify:track:7IVQ3HgoP3SRoJqxym4nBD,Ice Melts,Drake,More Life
0.714,0.408,140.001,0.243,0.39,0.0,4,0.735,9,185156,-5.798,0.879,0,audio_features,spotify:track:369B02oQm5ljWvVvDwTiv1,In My Business (Feat. Drake & Sean Garrett),Gucci Mane,Guccimerica
0.482,0.448,181.995,0.139,0.00623,0.0144,4,0.735,8,217933,-9.445,0.315,1,audio_features,spotify:track:0bAkKNCQfWkexHFn7fIKns,In My Feelings,Drake,Scorpion
0.671,0.212,83.078,0.477,0.764,0.0,4,0.44,3,234387,-10.598,0.479,0,audio_features,spotify:track:6FedhFiHb0KxTvOD1qEX8L,In the Morning,J. Cole,Cole World: The Sideline Story
0.538,0.149,83.508,0.312,0.738,0.0,4,0.636,1,226920,-7.725,0.514,1,audio_features,spotify:track:2QoOyCFpDo4NblMLP7vBRT,Is There More,Drake,Scorpion
0.759,0.356,153.923,0.173,0.0687,0.0,4,0.569,6,345987,-6.412,0.154,0,audio_features,spotify:track:6yW1eCHbR58c3ptwrCrW3v,It's Been a Pleasure,Bun B,Trill O.G.
0.715,0.119,85.356,0.156,0.0244,0.0,5,0.666,8,241467,-7.292,0.1,1,audio_features,spotify:track:2VY1GTTsPl2Ho91Zhu1VKY,It's Good,Lil Wayne,Tha Carter IV (Deluxe)
0.272,0.175,116.036,0.041,0.0366,0.0,4,0.766,0,262453,-5.696,0.037,1,audio_features,spotify:track:3jipFRgLyKK0oJoG1pKicx,Jaded,Drake,Scorpion
0.528,0.0936,146.056,0.274,0.511,0.000334,4,0.757,0,188703,-10.799,0.302,0,audio_features,spotify:track:5a5BZe4XVd1bvWXLOLPUfV,Jersey,Future,What A Time To Be Alive
0.861,0.0898,92.022,0.248,0.00591,0.0,4,0.498,2,274364,-2.495,0.23,1,audio_features,spotify:track:0rblsRyJ8ziZprfH9daK5P,Jodeci Freestyle,Champagne Pa,Even Closer To My Dreams
